economy,YR2018,YR2019,YR2020
BGR,4.04530000686646,4.19717979431152,4.03999996185303
EST,5.2632098197937,5.30190992355347,6.57999992370605
HUN,4.62282991409302,4.23763990402222,4.76000022888184
LTU,3.89293003082275,3.97215008735657,
LVA,4.24356985092163,4.42507982254028,5.96999979019165
MDA,5.43973016738892,6.10378980636597,6.38872003555298
POL,4.61579990386963,4.6692099571228,5.19000005722046
ROU,3.34474992752075,3.58318996429443,3.69000005722046
RUS,4.67819976806641,3.517245054245,3.73000001907349
UKR,5.3199200630188,5.44129991531372,5.38231992721558
